name,site_url,feed_url,language,directory_group,status,show_in_directory,include_in_latest,notes
LunarLoony,https://lunarloony.co.uk/,https://lunarloony.co.uk/feed/,Unspecified,alphabetical,included,yes,yes,
Lyons in Beta,https://lyonsinbeta.com/,https://lyonsinbeta.com/feed/feed.xml,Unspecified,alphabetical,included,yes,yes,
Lysurps,https://lysurps.neocities.org/,https://lysurps.neocities.org/rss.xml,Unspecified,alphabetical,included,yes,yes,
Mailvaltar,https://mailvaltar.wordpress.com/,https://mailvaltar.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Many Welps,https://manywelps.com/,https://manywelps.com/feed/,Unspecified,alphabetical,included,yes,yes,
Mar Qaroll's The Marrowing!,https://blog.marqaroll.com/,https://blog.marqaroll.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Martin Schuhmann,https://martinschuhmann.com/,https://martinschuhmann.com/feed/,Unspecified,alphabetical,included,yes,yes,
Massack,https://massack.wordpress.com/,https://massack.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Matt's Blog,https://mtwb.blog/,https://mtwb.blog/index.xml,Unspecified,alphabetical,included,yes,yes,
MDi of the M Disk Playlist,https://web.archive.org/web/20241229061101/https://cohost.org/mdi,https://cohost.org/mdi/rss/public.json,Unspecified,alphabetical,included,yes,yes,
Me Vs. Myself and I,https://gdub4.wordpress.com/,http://gdub4.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Michael Harley,https://michaelharley.net,https://obsolete29.com/feed/feed.xml,Unspecified,alphabetical,included,yes,yes,
Michcia's Notes,https://michcia.bearblog.dev/,https://michcia.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
MMO Casual,http://wowaltaddiction.blogspot.com/,http://wowaltaddiction.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
MMO Folklorist,https://mmofolklorist.com/,https://mmofolklorist.com/feed/,Unspecified,alphabetical,included,yes,yes,
MMO Gypsy,https://www.mmogypsy.com/,http://feeds.feedburner.com/RagingMonkeys,Unspecified,alphabetical,included,yes,yes,
MMO Juggler,https://mmojuggler.wordpress.com/,https://mmojuggler.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
MMO One Night a Week,http://mmoonenight.blogspot.com/,http://mmoonenight.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
MogBlog,https://mogblog.pika.page/,https://mogblog.pika.page/posts_feed,Unspecified,alphabetical,included,yes,yes,
Monocyte’s blog,https://monocyte.blog/,https://monocyte.bearblog.dev/feed/?type=rss,Unspecified,alphabetical,included,yes,yes,
Monsterlady's Diary,https://monsterladysdiary.wordpress.com/,https://monsterladysdiary.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
mormoroi,https://mormoroi.com/,https://journal.miso.town/atom?url=https://mormoroi.com/_parts/rss.html,Unspecified,alphabetical,included,yes,yes,
Muliama's Diaries,https://www.muliama.blog/,https://www.muliama.blog/feed/,Unspecified,alphabetical,included,yes,yes,
Musings And Mumblings,https://nothe.purplellamas.net/,https://nothe.purplellamas.net/feed.xml,Unspecified,alphabetical,included,yes,yes,
Musings Over Pints and Coffee,https://musingsoverpintsandcoffee.wordpress.com,https://musingsoverpintsandcoffee.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Muttthecowcat,https://muttthecowcat.neocities.org/,https://muttthecowcat.neocities.org/rss.xml,Unspecified,alphabetical,included,yes,yes,
My blog about anything and everything!,https://www.conor.zone/,https://www.conor.zone/en/feeds/rss.xml,Unspecified,alphabetical,included,yes,yes,
Nathan Friend,https://noof.omg.lol/,https://noof.omg.lol/rss.xml,Unspecified,alphabetical,included,yes,yes,
Necoco Loves Stuff,https://necocolovesstuff.wordpress.com/,https://necocolovesstuff.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Nerd Girl Thoughts,https://nerdgirlthoughts.game.blog/,https://nerdgirlthoughts.game.blog/feed/,Unspecified,alphabetical,included,yes,yes,
Nerdend News,https://nerdendnews.wordpress.com/,https://nerdendnews.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Nerdy Bookahs,https://nerdybookahs.wordpress.com/,http://nerdybookahs.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Nero Blog,https://blog.itsnero.com/,https://blog.itsnero.com/feed,Unspecified,alphabetical,included,yes,yes,
Neurofrontiers,https://neurofrontiers.blog/,https://neurofrontiers.blog/feed/,Unspecified,alphabetical,included,yes,yes,
Neverwinter Thoughts,http://neverwinterthoughts.blogspot.com/,http://neverwinterthoughts.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Newsonaut,https://www.newsonaut.com/,https://www.newsonaut.com/rss,Unspecified,alphabetical,included,yes,yes,
Noisy Deadlines,https://noisydeadlines.net/,https://noisydeadlines.net/feed/,Unspecified,alphabetical,included,yes,yes,
Nomadic Gamers,https://nomadicgamer.wordpress.com/,http://nomadicgamer.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
NomadWarMachine,https://nomadwarmachine.co.uk/,https://nomadwarmachine.co.uk/feed/,Unspecified,alphabetical,included,yes,yes,
Nosrednayduj's Blog,https://nosrednayduj.dreamwidth.org/,https://nosrednayduj.dreamwidth.org/data/rss,Unspecified,alphabetical,included,yes,yes,
Not all those who wander are lost,https://kavmac.com/,https://kavmac.com/feed/,Unspecified,alphabetical,included,yes,yes,
Notes by druchan,https://notes.druchan.com/,https://notes.druchan.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Notes by JCProbably,https://notes.jeddacp.com/,https://notes.jeddacp.com/feed/,Unspecified,alphabetical,included,yes,yes,
Notes — msfjarvis.dev,https://msfjarvis.dev/,https://msfjarvis.dev/notes/rss.xml,Unspecified,alphabetical,included,yes,yes,
Nullish,https://nullish.smol.pub/,https://nullish.smol.pub/atom.xml,Unspecified,alphabetical,included,yes,yes,
Object Dot Computer,https://object.computer/,https://object.computer/feed.xml,Unspecified,alphabetical,included,yes,yes,
Of Bones And Tealeaves,https://ofbonesandtealeaves.wordpress.com/,https://ofbonesandtealeaves.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Off Fleek Geek,https://ofg.fyi/,https://ofg.fyi/feed.xml,Unspecified,alphabetical,included,yes,yes,
Off the Top,https://www.vanderwal.net/random/index.php,http://feeds.feedburner.com/VanderwalnetOffTheTop,Unspecified,alphabetical,included,yes,yes,
Oh-no.ooo,https://oh-no.ooo/,https://www.oh-no.ooo/rss.xml,Unspecified,alphabetical,included,yes,yes,
Orbital Martian,https://orbitalmartian.polymaths.page/,https://orbitalmartian.polymaths.page/feed.xml,Unspecified,alphabetical,included,yes,yes,
OrbitalMartian,https://orbitalmartian.polymaths.page/,https://orbitalmartian.vercel.app/feed.xml,Unspecified,alphabetical,duplicate,no,no,Legacy duplicate; superseded by https://orbitalmartian.polymaths.page/feed.xml
Overage-Gaming,https://overage-gaming.com/,https://overage-gaming.com/feed/,Unspecified,alphabetical,included,yes,yes,
Parallel Spirals,https://pradx.in,https://pradx.in/feed/,Unspecified,alphabetical,included,yes,yes,
Paseo Baggage,https://paseobaggage.bearblog.dev/,https://paseobaggage.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
People and Blogs — Zachary Kai,https://zacharykai.net/,https://manuelmoreale.com/feed/peopleandblogs,Unspecified,alphabetical,included,yes,yes,
Personal InfoCloud,https://personalinfocloud.com/,https://personalinfocloud.com/feed/,Unspecified,alphabetical,included,yes,yes,
"Point, Click, Repeat",https://welshtroll.co.uk/,http://welshtroll.co.uk/feed/,Unspecified,alphabetical,included,yes,yes,
Portrait of the Man as a...,https://angrybunnyman.com/,https://angrybunnyman.com/feed/,Unspecified,alphabetical,included,yes,yes,
Posts and notes from Nick Simson,https://www.nicksimson.com/,https://www.nicksimson.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Posts on galumphing,https://galumphing.net/posts/,http://galumphing.net/feed/,Unspecified,alphabetical,included,yes,yes,
Pour The Coffee,https://pourthecoffee.bearblog.dev/,https://pourthecoffee.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Pretend Typewriter,https://pretendtypewriter.net/,https://pretendtypewriter.net/feed/,Unspecified,alphabetical,included,yes,yes,
Priest with a Cause,https://priestwithacause.blogspot.com/,https://priestwithacause.blogspot.com/feeds/posts/default?alt=rss,Unspecified,alphabetical,included,yes,yes,
PUNKTO,https://punkto.org/,https://punkto.org/blog.xml,Unspecified,alphabetical,included,yes,yes,
Puxped's Microblog,https://pux.nehukon.de/microblog/,https://pux.nehukon.de/box/feed.php?f=notes,Unspecified,alphabetical,included,yes,yes,
Queen Of Squiggles's Blog,https://queenofsquiggles.codeberg.page/,https://queenofsquiggles.codeberg.page/rss.xml,Unspecified,alphabetical,included,yes,yes,
Quinn Daedal,https://quinndaedal.com/,https://quinndaedal.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Quintessence of Dust,https://sfmatheson.blogspot.com/,http://sfmatheson.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Rachonaut,https://rachonaut.com/,https://rachonaut.com/feed/,Unspecified,alphabetical,included,yes,yes,
Ramble With(out) A Cause,https://ramblewithoutacause.wordpress.com/,https://ramblewithoutacause.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Random Access Memories,https://blog.x1101.net/,https://blog.x1101.net/rss.xml,Unspecified,alphabetical,included,yes,yes,
Re: Nyman,https://blog.nyman.re/,https://blog.nyman.re/index.xml,Unspecified,alphabetical,included,yes,yes,
Reay Jespersen,https://www.reayjespersen.com/,https://www.reayjespersen.com/feed/,Unspecified,alphabetical,included,yes,yes,
Ribo.zone,https://ribo.zone/,https://ribo.zone/feed.xml,Unspecified,alphabetical,included,yes,yes,
Riel's Nest,https://rieaglenest.wordpress.com/,https://rieaglenest.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Rishi Dass,https://rishidass.net,https://rishidass.net/posts_feed,Unspecified,alphabetical,included,yes,yes,
Robert Birming,https://birming.com/,https://birming.com/feed/,Unspecified,alphabetical,included,yes,yes,
Rogue Writers,https://roguewriters.net/,https://roguewriters.net/feed/,Unspecified,alphabetical,included,yes,yes,
ROSKA'S REVERIE ⋆౨ৎ˚⟡˖ ࣪,https://polvoronii.bearblog.dev/,https://polvoronii.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Ryan P. Randall,https://www.ryanpatrickrandall.com/,https://www.ryanpatrickrandall.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Sal's Blog,https://sals.place/,https://sals.place/feed/,Unspecified,alphabetical,included,yes,yes,
Same Old Daph,https://sameolddaph.wordpress.com/,https://sameolddaph.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Scopique’s,https://scopique.com/,https://scopique.com/feed/,Unspecified,alphabetical,included,yes,yes,
Scormus Fails,https://scormey.com/,https://scormey.com/feed/,Unspecified,alphabetical,included,yes,yes,
Seeker's Blog,https://seeker518.wordpress.com/,https://seeker518.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Shadowz Abstract Gaming,https://sag.sadesignz.org/,https://sag.sadesignz.org/feed/,Unspecified,alphabetical,included,yes,yes,
Sid Debona,https://sid-debona.blogspot.com/,https://sid-debona.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Sigmatic,https://sigmatic.neocities.org/blog,https://sigmatic.neocities.org/feed.txt,Unspecified,alphabetical,included,yes,yes,
Small Good Things,https://hollie.eilloh.net/,https://hollie.eilloh.net/rss.xml,Unspecified,alphabetical,included,yes,yes,
Smörgåsboring,https://smorgasboring.com/,https://smorgasboring.com/rss/,Unspecified,alphabetical,included,yes,yes,
Srijan Choudhary,https://srijan.ch/feed/all,https://srijan.ch/feed/all.xml,Unspecified,alphabetical,included,yes,yes,
StarShadow,https://starandshadow.wordpress.com/,http://starandshadow.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Stories by Audrey Zetta on Medium,https://medium.com/@audreyzetta?source=rss-529ca56efa34------2,https://medium.com/feed/@audreyzetta,Unspecified,alphabetical,included,yes,yes,
Story Mode,https://missquote.net/,https://missquote.net/rss.xml,Unspecified,alphabetical,included,yes,yes,
SweaterPockets,https://sweaterpockets.bearblog.dev/,https://sweaterpockets.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Syl's Blog,https://syls.blog/,https://syls.blog/feed/,Unspecified,alphabetical,included,yes,yes,
Sylvia's Studio,https://sylvia.studio/,https://sylvia.studio/feed.xml,Unspecified,alphabetical,included,yes,yes,
Synthetic Dulips,https://syntheticdulips.wordpress.com/,https://syntheticdulips.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Tabitha Computer,https://tabitha.computer/,https://tabitha.computer/feed/,Unspecified,alphabetical,included,yes,yes,
Tales of the Aggronaut,https://aggronaut.com/,http://aggronaut.com/feed/,Unspecified,alphabetical,included,yes,yes,
