name,site_url,feed_url,language,directory_group,status,show_in_directory,include_in_latest,notes
20ily April,https://20ilyapril.wordpress.com/,https://20ilyapril.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
26g,https://26g.netlify.app/,https://26g.netlify.app/feed.xml,Unspecified,alphabetical,included,yes,yes,
82MHz,http://82mhz.net/posts/,http://82mhz.net/index.xml,Unspecified,alphabetical,included,yes,yes,
@thiskurt's blog,https://thiskurt.me,https://thiskurt.me/rss.xml,Unspecified,alphabetical,included,yes,yes,
A 3D Blog for a 3D World,https://kingwilly105.blogspot.com/,https://kingwilly105.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
A Boy And His Computer,https://aboyandhiscomputer.org/,https://aboyandhiscomputer.neocities.org/feed.xml,Unspecified,alphabetical,included,yes,yes,
A Day in the Life of Flash,https://adayinthelifeofflash.wordpress.com/,https://adayinthelifeofflash.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
A Geek Girl's Guide,https://ageekgirlsguide.com/,https://ageekgirlsguide.com/feed/,Unspecified,alphabetical,included,yes,yes,
A Green Mushroom,http://www.agreenmushroom.com/,http://www.agreenmushroom.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
A Missioneer in Eve,https://mikeazariah.wordpress.com/,http://mikeazariah.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
A parenthetical departure,https://departure.blog/,https://sylvia.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
A Vueltas por los Mundos,https://vueltaspodcast.wordpress.com/,https://vueltaspodcast.wordpress.com/blog/feed/,Unspecified,alphabetical,included,yes,yes,
Achille Toupin,https://achilletoupin.com/,https://www.achilletoupin.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Aeish's Blog Feed :3,https://aeish-world.neocities.org/blog_front,https://aeish-world.neocities.org/feed.txt,Unspecified,alphabetical,included,yes,yes,
Aeternus Gaming,http://aeternusgaming.nl/,http://aeternusgaming.nl/feed/,Unspecified,alphabetical,included,yes,yes,
African Music Forum,https://amf.didiermary.fr/,https://amf.didiermary.fr/feed/,Unspecified,alphabetical,included,yes,yes,
agnes the alien's blog;,https://blog.agnes.love/,https://blog.agnes.love/feed/,Unspecified,alphabetical,included,yes,yes,
Alessandro Cuzzocrea,https://alessandrocuzzocrea.com,https://alessandrocuzzocrea.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Alex's Review Corner,https://super142.wordpress.com/,https://super142.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Alligators and aneurysms!,https://alligatorsandaneurysms.wordpress.com/,http://alligatorsandaneurysms.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Alvan's digital garden,https://rahim.li/,https://rahim.li/index.xml,Unspecified,alphabetical,included,yes,yes,
Amerpie by Lou Plummer,https://amerpie.lol/,https://amerpie.lol/feed.xml,Unspecified,alphabetical,included,yes,yes,
An Archaeopteryx,https://anarchaeopteryx.bearblog.dev/,https://anarchaeopteryx.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Aneesh Sathe,https://aneeshsathe.com/,https://aneeshsathe.com/index.xml,Unspecified,alphabetical,included,yes,yes,
Annonimax,https://annonimax.bearblog.dev/,https://annonimax.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Another Dayu,https://anotherdayu.com/,https://anotherdayu.com/feed/,Unspecified,alphabetical,included,yes,yes,
AppAddict,https://appaddict.app/,https://apps.louplummer.lol/feed.atom,Unspecified,alphabetical,included,yes,yes,
Ash & Veil,https://ahobbitsjourney.wordpress.com,https://ahobbitsjourney.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Ash's Adventures,https://ashgar.com/,https://ashgar.com/feed/,Unspecified,alphabetical,included,yes,yes,
Avaruussuo,https://jlaasonen.me/,https://jlaasonen.me/feed/,Unspecified,alphabetical,included,yes,yes,
AW Sketch,https://www.awsketch.com/,https://www.awsketch.com/rss.xml,Unspecified,alphabetical,included,yes,yes,
Axxuy's Internet Notebook,https://axxuy.com/blog/,https://axxuy.com/blog/feed.xml,Unspecified,alphabetical,included,yes,yes,
Aywren's Nook,https://www.aywren.com/,https://aywren.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Backlog Crusader,https://backlogcrusader.com/,https://backlogcrusader.com/feed/,Unspecified,alphabetical,included,yes,yes,
Battle Stance,https://battlestance.org/,https://battlestance.org/feed/,Unspecified,alphabetical,included,yes,yes,
Bavatuesdays,https://bavatuesdays.com,http://bavatuesdays.com/feed/,Unspecified,alphabetical,included,yes,yes,
Beats and Skies,https://preconstructedmagic.wordpress.com/,https://preconstructedmagic.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Ben Ramsey,https://ben.ramsey.dev/,https://ben.ramsey.dev/feeds/blog.rss,Unspecified,alphabetical,included,yes,yes,
Beto Dealmeida,https://robida.net/,https://robida.net/feed.xml,Unspecified,alphabetical,included,yes,yes,
Beyond Tannhauser Gate,https://www.beyondtannhausergate.com/,http://www.beyondtannhausergate.com/feed/,Unspecified,alphabetical,included,yes,yes,
Beyond the Horizon,https://blog.spencermagnusson.com,https://blog.spencermagnusson.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Biggus Bloggus,https://taterinx.bearblog.dev/,https://taterinx.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Bio Break,https://biobreak.wordpress.com/,https://biobreak.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Bitterly Indifferent,https://pmjg.blogspot.com/,https://pmjg.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Blog of the Grubby Dog,https://your-local-grubdog.neocities.org/blog/,https://your-local-grubdog.neocities.org/feed.xml,Unspecified,alphabetical,included,yes,yes,
Blogging on Toby Geeks Out!,https://tobygeeksout.micro.blog/categories/blogging/,https://tobygeeksout.micro.blog/categories/blogging/feed.xml,Unspecified,alphabetical,included,yes,yes,
Blogging with Dragons,https://bloggingwithdragons.com/,https://www.bloggingwithdragons.com/feed/,Unspecified,alphabetical,included,yes,yes,
Bongo Twisty,https://www.bongotwisty.blog/,https://www.bongotwisty.blog/index.xml,Unspecified,alphabetical,included,yes,yes,
Brennan Day,https://brennan.day/,https://brennan.day/feed.xml,Unspecified,alphabetical,included,yes,yes,
Broken Star,https://brokenstar.blog/,https://brokenstar.blog/feed/,Unspecified,alphabetical,included,yes,yes,
BurgeonLab,https://burgeonlab.com/,https://burgeonlab.com/all/feed.xml,Unspecified,alphabetical,included,yes,yes,
Calamity Jess,https://www.calamityjess.net/,https://www.calamityjess.net/feed/,Unspecified,alphabetical,included,yes,yes,
Calishat,https://www.calishat.com/,https://www.calishat.com/feed/,Unspecified,alphabetical,included,yes,yes,
Can I Play Too?,https://caniplaytooblog.wordpress.com/,https://caniplaytooblog.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Capsulejay's Tales from the Backlog,https://www.capsulejay.com/,http://talesfrombacklog.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Casual Aggro,https://casualaggro.wordpress.com/,http://casualaggro.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Chasing Dings!,https://chasingdings.com/,https://chasingdings.com/?feed=rss2,Unspecified,alphabetical,included,yes,yes,
Cheap Boss Attack,https://cheapbossattack.wordpress.com/,http://cheapbossattack.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Ches's Mind Dump,https://cheshiresminddump.blogspot.com/,https://cheshiresminddump.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Cheshire Gaming,https://www.cheshiregaming.com/,https://www.cheshiregaming.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Christi Richards,https://christirichards.com/,https://christirichards.com/rss.xml,Unspecified,alphabetical,included,yes,yes,
Christopher Himes,http://christopherhimes.com/,https://christopherhimes.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Clandestini,https://clandestini.org/,https://clandestini.org/feed/,Unspecified,alphabetical,included,yes,yes,
Cobb.land,https://cobb.land/,https://cobb.land/feed.xml,Unspecified,alphabetical,included,yes,yes,
Coffee spills,https://tallywinkle.bearblog.dev/,https://tallywinkle.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
ComradeNerdy,https://comradenerdy.com/,https://comradenerdy.com/feed/,Unspecified,alphabetical,included,yes,yes,
Contains Moderate Peril,https://www.containsmoderateperil.com/blog/,http://www.containsmoderateperil.com/feed/,Unspecified,alphabetical,included,yes,yes,
Cotswold Diary,https://diary.uncountable.uk/,https://diary.uncountable.uk/feed/,Unspecified,alphabetical,included,yes,yes,
Courtney Rosenthal,https://www.crosenthal.com/,https://www.crosenthal.com/chrome/feed.xml,Unspecified,alphabetical,included,yes,yes,
Cubic Creativity,https://cubiccreativity.wordpress.com/,https://cubiccreativity.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Cynni’s Blog,https://cynnisblog.wordpress.com/,https://cynnisblog.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Daily Creative Thing,https://dailycreativething.wordpress.com/,https://dailycreativething.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Dave Henry Blog,https://davehenry.blog/,https://davehenry.blog/rss.xml,Unspecified,alphabetical,included,yes,yes,
Dear Angel,https://dearangelblog.tumblr.com/,https://dearangelblog.tumblr.com/rss,Unspecified,alphabetical,included,yes,yes,
Dextraneous,https://dextraneous.blog/,https://dextraneous.blog/feed/,Unspecified,alphabetical,included,yes,yes,
Dirchansky Freetalk,https://dirchansky.com/freetalk/,https://dirchansky.com/freetalk/rss.xml,Unspecified,alphabetical,included,yes,yes,
Dispatches from Darksyde,https://dispatchesfromdarksyde.wordpress.com/,https://dispatchesfromdarksyde.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Divergent Rays' Blog,https://divergentrays.com/blog/,https://divergentrays.com/blog/blogfeed.xml,Unspecified,alphabetical,included,yes,yes,
Dozenial Dragons,https://www.dozenialdragons.me.uk/blog/,https://granary.io/url?input=html&output=rss&url=https%3A%2F%2Fwww.dozenialdragons.me.uk%2Fblog,Unspecified,alphabetical,included,yes,yes,
Dragonchasers,https://dragonchasers.com/,http://dragonchasers.com/feed/,Unspecified,alphabetical,included,yes,yes,
Emma Juettner,https://emmajuettner.com/,https://emmajuettner.com/feed/rss.xml,Unspecified,alphabetical,included,yes,yes,
Endgame Viable,https://endgameviable.com/,http://endgameviable.com/feed/,Unspecified,alphabetical,included,yes,yes,
Exposition is Inevitable,http://kebrent.blogspot.com/,http://kebrent.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Fifth Generation Gaming,https://fifthgengaming.blog/,https://fifthgengaming.blog/feed/,Unspecified,alphabetical,included,yes,yes,
Flamingo Flix,https://flamingo-flix.blogspot.com/,https://flamingo-flix.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Forking Mad+,https://forkingmad.blog/,https://forkingmad.blog/feed/,Unspecified,alphabetical,included,yes,yes,
Friendly Neighborhood Blu,https://blu30rion.wordpress.com/,https://blu30rion.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
From the keyboard of Dr Jan,https://drjan.org,https://drjan.org/feed/,Unspecified,alphabetical,included,yes,yes,
Frostilyte Writes,https://frostilyte.ca/,https://frostilyte.ca/feed/,Unspecified,alphabetical,included,yes,yes,
Full Time Casual,https://blog.kevinbrill.com/,https://blog.kevinbrill.com/feeds/posts/default?alt=rss,Unspecified,alphabetical,included,yes,yes,
Fyr.io,https://fyr.io/,https://fyr.io/feed,Unspecified,alphabetical,included,yes,yes,
Gamer Girl Confessions,https://gamergirlconfessions.com/,http://gamergirlconfessions.com/feed/,Unspecified,alphabetical,included,yes,yes,
GamerLady P Blog,https://www.gamerlady.blog/,https://gamerlady.blog/feed/,Unspecified,alphabetical,included,yes,yes,
Gamers Esoteric,https://www.gamersesoteric.com/,https://www.gamersesoteric.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
Games and Geekery,https://gamesandgeekeryblog.wordpress.com/,https://gamesandgeekeryblog.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Gaming Conversations,https://braxwolf.wordpress.com/,http://braxwolf.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Gaming Omnivore,https://gamingomnivore.wordpress.com/,https://gamingomnivore.com/feed/,Unspecified,alphabetical,included,yes,yes,
GamingSF,https://gamingsf.wordpress.com/,https://gamingsf.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Gaudete Theology,https://gaudetetheology.wordpress.com/,http://gaudetetheology.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Geek on a Harley,https://geekonaharley.org/,https://geekonaharley.org/feed/,Unspecified,alphabetical,included,yes,yes,
Glenn Greenwald,https://greenwald.substack.com,https://greenwald.substack.com/feed/,Unspecified,alphabetical,included,yes,yes,
Glome,https://glome.bearblog.dev/,https://glome.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Going Commando,https://swtorcommando.blogspot.com/,http://swtorcommando.blogspot.com/feeds/posts/default?alt=rss,Unspecified,alphabetical,included,yes,yes,
Graphiya's Garden,https://graphiya.wordpress.com/,https://graphiya.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
gRegorLove.com,https://gregorlove.com,http://feeds.feedburner.com/gregorlove,Unspecified,alphabetical,included,yes,yes,
